AENC,Audio encryption
APIC,Attached picture
ASPI,Audio seek point index
COMM,Comments
COMR,Commercial frame
ENCR,Encryption method registration
EQU2,Equalisation
EQUA,Equalization
ETCO,Event timing codes
GEOB,General encapsulated object
GRID,Group identification registration
IPLS,Involved people list
LINK,Linked information
MCDI,Music CD identifier
MLLT,MPEG location lookup table
OWNE,Ownership frame
PCNT,Play counter
POPM,Popularimeter
POSS,Position synchronisation frame
PRIV,Private frame
RBUF,Recommended buffer size
RVA2,Relative volume adjustment
RVAD,Relative volume adjustment
RVRB,Reverb
SEEK,Seek frame
SIGN,Signature frame
SYLT,Synchronized lyric/text
SYTC,Synchronized tempo codes
TALB,Album/Movie/Show title
TBPM,Beats per minute (BPM)
TCOM,Composer
TCON,Content type
TCOP,Copyright message
TDAT,Date
TDEN,Encoding time
TDLY,Playlist delay
TDOR,Original release time
TDRC,Recording time
TDRL,Release time
TDTG,Tagging time
TENC,Encoded by
TEXT,Lyricist/Text writer
TFLT,File type
TIME,Time
TIPL,Involved people list
TIT1,Content group description
TIT2,Title/songname/content description
TIT3,Subtitle/Description refinement
TKEY,Initial key
TLAN,Language(s)
TLEN,Length
TMCL,Musician credits list
TMED,Media type
TMOO,Mood
TOAL,Original album/movie/show title
TOFN,Original filename
TOLY,Original lyricist(s)/text writer(s)
TOPE,Original artist(s)/performer(s)
TORY,Original release year
TOWN,File owner/licensee
TPE1,Lead performer(s)/Soloist(s)
TPE2,Band/orchestra/accompaniment
TPE3,Conductor/performer refinement
TPE4,Interpreted
TPOS,Part of a set
TPRO,Produced notice
TPUB,Publisher
TRCK,Track number/Position in set
TRDA,Recording dates
TRSN,Internet radio station name
TRSO,Internet radio station owner
TSIZ,Size
TSOA,Album sort order
TSOP,Performer sort order
TSOT,Title sort order
TSRC,International Standard Recording Code (ISRC)
TSSE,Software/Hardware and settings used for encoding
TSST,Set subtitle
TXXX,User defined text information frame
TYER,Year
UFID,Unique file identifier
USER,Terms of use
USLT,Unsynchronized lyric/text transcription
WCOM,Commercial information
WCOP,Copyright/Legal information
WOAF,Official audio file webpage
WOAR,Official artist/performer webpage
WOAS,Official audio source webpage
WORS,Official internet radio station homepage
WPAY,Payment
WPUB,Publishers official webpage
WXXX,User defined URL link frame
